Naam;Weging;Industrie;Land
RESTAURANTS BRANDS INTERNATIONAL I;0,03;Luxe-consumentengoederen;Canada
STANDARD CHARTERED PLC;0,03;Financiële waarden;Verenigd Koninkrijk
DAI-ICHI LIFE HOLDINGS INC;0,03;Financiële waarden;Japan
WOODSIDE PETROLEUM LTD;0,03;Energie;Australië
SYMRISE AG;0,03;Materialen;Duitsland
NITORI HOLDINGS LTD;0,03;Luxe-consumentengoederen;Japan
CHECK POINT SOFTWARE TECHNOLOGIES;0,03;IT;Israël
HONG KONG AND CHINA GAS LTD;0,03;Nutsbedrijven;Hong Kong
NVR INC;0,03;Luxe-consumentengoederen;Verenigde Staten
ALLIANT ENERGY CORP;0,03;Nutsbedrijven;Verenigde Staten
MARKEL CORP;0,03;Financiële waarden;Verenigde Staten
ROGERS COMMUNICATIONS NON-VOTING I;0,03;Communicatie;Canada
E TRADE FINANCIAL CORP;0,03;Financiële waarden;Verenigde Staten
SWEDISH MATCH;0,03;Basis-consumentengoederen;Zweden
SHIMANO INC;0,03;Luxe-consumentengoederen;Japan
TELADOC HEALTH INC;0,03;Gezondheidszorg;Verenigde Staten
PINTEREST INC CLASS A;0,03;Communicatie;Verenigde Staten
M&T BANK CORP;0,03;Financiële waarden;Verenigde Staten
LIBERTY BROADBAND CORP SERIES C;0,03;Communicatie;Verenigde Staten
SINGAPORE TELECOMMUNICATIONS LTD;0,03;Communicatie;Singapore
ESSEX PROPERTY TRUST REIT INC;0,03;Vastgoed;Verenigde Staten
TRIMBLE INC;0,03;IT;Verenigde Staten
PERKINELMER INC;0,03;Gezondheidszorg;Verenigde Staten
NOVOZYMES B;0,03;Materialen;Denemarken
QIAGEN NV;0,03;Gezondheidszorg;Duitsland
INTERNATIONAL FLAVORS & FRAGRANCES;0,03;Materialen;Verenigde Staten
GARTNER INC;0,03;IT;Verenigde Staten
LOGITECH INTERNATIONAL SA;0,03;IT;Zwitserland
ATMOS ENERGY CORP;0,03;Nutsbedrijven;Verenigde Staten
PEMBINA PIPELINE CORP;0,03;Energie;Canada
IDEX CORP;0,03;Industrie;Verenigde Staten
SGS SA;0,03;Industrie;Zwitserland
NICE LTD;0,03;IT;Israël
SLACK TECHNOLOGIES CLASS A INC;0,03;IT;Verenigde Staten
BOSTON PROPERTIES REIT INC;0,03;Vastgoed;Verenigde Staten
BIOMARIN PHARMACEUTICAL INC;0,03;Gezondheidszorg;Verenigde Staten
NIPPON PAINT HOLDINGS LTD;0,03;Materialen;Japan
YASKAWA ELECTRIC CORP;0,03;Industrie;Japan
EMERA INC;0,03;Nutsbedrijven;Canada
INGERSOLL RAND INC;0,03;Industrie;Verenigde Staten
LEIDOS HOLDINGS INC;0,03;IT;Verenigde Staten
JUST EAT TAKEAWA NV;0,03;Luxe-consumentengoederen;Nederland
OMRON CORP;0,03;IT;Japan
REPSOL SA;0,03;Energie;Spanje
CHENIERE ENERGY INC;0,03;Energie;Verenigde Staten
WATER CORP;0,03;Gezondheidszorg;Verenigde Staten
BUNZL;0,03;Industrie;Verenigd Koninkrijk
JACOBS ENGINEERING GROUP INC;0,03;Industrie;Verenigde Staten
BOOZ ALLEN HAMILTON HOLDING CORP C;0,03;IT;Verenigde Staten
GODADDY INC CLASS A;0,03;IT;Verenigde Staten
ZILLOW GROUP INC CLASS C;0,03;Communicatie;Verenigde Staten
TELENOR;0,03;Communicatie;Noorwegen
CONTINENTAL AG;0,03;Luxe-consumentengoederen;Duitsland
EVERGY INC;0,03;Nutsbedrijven;Verenigde Staten
BEIERSDORF AG;0,02;Basis-consumentengoederen;Duitsland
AES CORP;0,02;Nutsbedrijven;Verenigde Staten
OBIC LTD;0,02;IT;Japan
TOSHIBA CORP;0,02;Industrie;Japan
INTERTEK GROUP PLC;0,02;Industrie;Verenigd Koninkrijk
BRAMBLES LTD;0,02;Industrie;Australië
IAC INTERACTIVE;0,02;Communicatie;Verenigde Staten
ROYAL CARIBBEAN GROUP LTD;0,02;Luxe-consumentengoederen;Verenigde Staten
RPM INTERNATIONAL INC;0,02;Materialen;Verenigde Staten
TELIA COMPANY;0,02;Communicatie;Zweden
AFTERPAY LTD;0,02;IT;Australië
COGNEX CORP;0,02;IT;Verenigde Staten
DOLLARAMA INC;0,02;Luxe-consumentengoederen;Canada
LOEWS CORP;0,02;Financiële waarden;Verenigde Staten
HUNTINGTON BANCSHARES INC;0,02;Financiële waarden;Verenigde Staten
KEURIG DR PEPPER INC;0,02;Basis-consumentengoederen;Verenigde Staten
SNAM;0,02;Nutsbedrijven;Italië
RAMSAY HEALTH CARE LTD;0,02;Gezondheidszorg;Australië
UDR REIT INC;0,02;Vastgoed;Verenigde Staten
MOWI;0,02;Basis-consumentengoederen;Noorwegen
LENNOX INTERNATIONAL INC;0,02;Industrie;Verenigde Staten
XPO LOGISTICS INC;0,02;Industrie;Verenigde Staten
SUMITOMO METAL MINING LTD;0,02;Materialen;Japan
ADVANTEST CORP;0,02;IT;Japan
NORDSON CORP;0,02;Industrie;Verenigde Staten
NEUROCRINE BIOSCIENCES INC;0,02;Gezondheidszorg;Verenigde Staten
INTERCONTINENTAL HOTELS GROUP PLC;0,02;Luxe-consumentengoederen;Verenigd Koninkrijk
ARGENX;0,02;Gezondheidszorg;België
SCOUT24 N AG;0,02;Communicatie;Duitsland
JULIUS BAER GRUPPE AG;0,02;Financiële waarden;Zwitserland
HANKYU HANSHIN HOLDINGS INC;0,02;Industrie;Japan
TEXTRON INC;0,02;Industrie;Verenigde Staten
HANG SENG BANK LTD;0,02;Financiële waarden;Hong Kong
GLOBE LIFE INC;0,02;Financiële waarden;Verenigde Staten
TEVA PHARMACEUTICAL INDUSTRIES LTD;0,02;Gezondheidszorg;Israël
TD AMERITRADE HOLDING CORP;0,02;Financiële waarden;Verenigde Staten
AENA SME SA;0,02;Industrie;Spanje
CONCHO RESOURCES INC;0,02;Energie;Verenigde Staten
TERNA RETE ELETTRICA NAZIONALE;0,02;Nutsbedrijven;Italië
ZSCALER INC;0,02;IT;Verenigde Staten
SHIMADZU CORP;0,02;IT;Japan
PG&E CORP;0,02;Nutsbedrijven;Verenigde Staten
SAREPTA THERAPEUTICS INC;0,02;Gezondheidszorg;Verenigde Staten
ALBEMARLE CORP;0,02;Materialen;Verenigde Staten
ELANCO ANIMAL HEALTH INC;0,02;Gezondheidszorg;Verenigde Staten
LEG IMMOBILIEN N AG;0,02;Vastgoed;Duitsland
PTC INC;0,02;IT;Verenigde Staten
CENTERPOINT ENERGY INC;0,02;Nutsbedrijven;Verenigde Staten
CHR HANSEN HOLDING;0,02;Materialen;Denemarken
ON SEMICONDUCTOR CORP;0,02;IT;Verenigde Staten
MTR CORPORATION CORP LTD;0,02;Industrie;Hong Kong
DAIFUKU LTD;0,02;Industrie;Japan
NITTO DENKO CORP;0,02;Materialen;Japan
CARREFOUR SA;0,02;Basis-consumentengoederen;Frankrijk
