ING GROEP;0,06%
SEVEN & I HOLDINGS CO;0,06%
MCKESSON CORP;0,06%
CADENCE DESIGN SYSTEMS;0,06%
SCHLUMBERGER;0,06%
COSTAR GROUP;0,06%
CLOROX CO;0,06%
CUMMINS;0,06%
TERUMO CORP;0,06%
AFLAC;0,06%
PACCAR;0,06%
MITSUI & CO;0,06%
SHISEIDO CO;0,06%
MACQUARIE GROUP;0,06%
DOCUSIGN;0,06%
DBS GROUP HOLDINGS;0,06%
CONSOLIDATED EDISON;0,06%
TWITTER;0,06%
ROCKWELL AUTOMATION;0,06%
WASTE CONNECTIONS;0,06%
WILLIAMS COS;0,06%
MANULIFE FINANCIAL CORP;0,06%
ANSYS;0,06%
ORANGE;0,06%
RIO TINTO LTD (AU);0,06%
CENTRAL JAPAN RAILWAY CO;0,06%
PPG INDUSTRIES;0,06%
INVESTOR B;0,06%
SOFTBANK CORP;0,06%
SIKA;0,06%
JOHNSON CONTROLS (NEW);0,06%
HEINEKEN NV;0,06%
PRUDENTIAL FINANCIAL;0,06%
MITSUBISHI ELECTRIC CORP;0,06%
ADYEN NV;0,06%
JAPAN TOBACCO;0,06%
E, ON;0,06%
PALO ALTO NETWORKS;0,06%
MOTOROLA SOLUTIONS;0,06%
MARATHON PETROLEUM;0,06%
ENI;0,06%
TWILIO A;0,06%
PARKER HANNIFIN CORP;0,06%
NOKIA CORP;0,06%
FASTENAL CO;0,06%
RESMED;0,06%
EAST JAPAN RAILWAY CO;0,06%
OKTA;0,06%
PAYCHEX;0,06%
BALL CORP;0,06%
AMERICAN WATER WORKS CO;0,06%
FIRSTENERGY CORP;0,06%
AMADEUS IT GROUP A;0,06%
KONE B;0,06%
VERISIGN;0,06%
MICROCHIP TECHNOLOGY;0,06%
TELEFONICA;0,06%
FORD MOTOR CO;0,06%
DOLLAR TREE;0,06%
EQUITY RESIDENTIAL;0,06%
HILTON WORLDWIDE HLDGS;0,06%
CERNER CORP;0,06%
XILINX;0,06%
AVALONBAY COMMUNITIES;0,05%
CONSTELLATION SOFTWARE;0,05%
NORDEA BANK;0,05%
TRANSDIGM GROUP INC;0,05%
DSV PANALPINA;0,05%
CANADIAN NAT RESOURCES;0,05%
ORSTED;0,05%
OTIS WORLDWIDE;0,05%
CREDIT SUISSE;0,05%
CINTAS CORP;0,05%
MARVELL TECHNOLOGY GROUP;0,05%
ZOOM VIDEO COMM A;0,05%
KONINKLIJKE DSM;0,05%
STATE STREET CORP;0,05%
DASSAULT SYSTEMES;0,05%
IAC/INTERACTIVECORP A;0,05%
VOLVO B;0,05%
PPL CORP;0,05%
MCCORMICK & CO NV;0,05%
WELLTOWER INC;0,05%
ARCHER-DANIELS-MIDLAND;0,05%
HP;0,05%
ENGIE;0,05%
LAFARGEHOLCIM;0,05%
TRANE TECHNOLOGIES;0,05%
EDISON INTERNATIONAL;0,05%
FERRARI (IT);0,05%
FUJITSU;0,05%
BBVA;0,05%
FORTINET;0,05%
WOLTERS KLUWER;0,05%
AMETEK;0,05%
FLEETCOR TECHNOLOGIES;0,05%
DTE ENERGY;0,05%
SUN LIFE FINANCIAL;0,05%
CANON INC;0,05%
ENTERGY CORP;0,05%
ASSA ABLOY B;0,05%
KRAFT HEINZ CO;0,05%
OLYMPUS CORP;0,05%
OCBC BANK;0,05%
VESTAS WIND SYSTEMS;0,05%
SKYWORKS SOLUTIONS;0,05%
BROWN-FORMAN CORP B;0,05%
HERSHEY CO (THE);0,05%
RING CENTRAL A;0,05%
FRESENIUS;0,05%
CORTEVA;0,05%
KEYSIGHT TECHNOLOGIES;0,05%
GENMAB;0,05%
