FASTLY A;0.061749%
LATTICE SEMICONDUCTOR;0.061745%
MATTEL;0.061619%
MURPHY USA;0.061568%
QURATE RETAIL A;0.061561%
TECHNIPFMC;0.061553%
ARES MANAGEMENT CORP;0.061438%
IRHYTHM TECHNOLOGIES;0.061382%
HASEKO CORP;0.061381%
QUBE HOLDINGS;0.061315%
ASGN INCORPORATED;0.061303%
REATA PHARMACEUTICALS A;0.061231%
FIRSTSERVICE CORP(NEW);0.061120%
NATIONAL FUEL GAS CO;0.061105%
LIVERAMP HOLDINGS;0.061087%
NEW JERSEY RESOURCES;0.060981%
COFINIMMO;0.060946%
REGAL BELOIT CORP;0.060940%
COGENT COMMU HOLDINGS;0.060770%
EQT;0.060692%
MERLIN PROPERTIES SOCIMI;0.060379%
AFFILIATED MANAGERS GRP;0.060291%
UNUM GROUP;0.060236%
AAK;0.060111%
WEIR GROUP;0.060020%
ACKERMANS & VAN HAAREN;0.059976%
SKYLARK HOLDINGS CO;0.059685%
HOLMEN B;0.059605%
AMICUS THERAPEUTICS;0.059601%
RH;0.059593%
ALAMOS GOLD;0.059587%
POWER INTEGRATIONS;0.059567%
HISCOX;0.059564%
BRIGHTHOUSE FINANCIAL;0.059498%
CLEAN HARBORS;0.059466%
SIMPSON MANUFACTURING;0.059366%
CAPCOM CO;0.059342%
ARROWHEAD PHARMA;0.059339%
KOHLS CORP;0.059280%
AGIOS PHARMACEUTICALS;0.059262%
NUVASIVE;0.059161%
ACI WORLDWIDE;0.059132%
NEXTERA ENERGY PARTNERS;0.059112%
UNITE GROUP;0.059110%
TEMPUR SEALY INTL;0.058939%
BIOHAVEN PHARMA HLDG;0.058779%
BALCHEM CORP;0.058625%
HALOZYME THERAPEUTICS;0.058596%
PROTO LABS;0.058572%
KINSALE CAPITAL GROUP;0.058530%
AZBIL CORP;0.058381%
RLI CORP;0.058365%
BAKKAFROST;0.058273%
ANSELL;0.058261%
COMSYS HOLDINGS;0.058232%
NICHIREI CORP;0.058093%
HERA;0.058068%
PINNACLE FINL PARTNERS;0.058009%
SPIRIT REALTY (NEW);0.057965%
IOVANCE BIOTHERAPEUTICS;0.057964%
FABEGE;0.057547%
NEW RESIDENTIAL INV;0.057492%
INTERACTIVE BKRS GRP A;0.057417%
SELECTIVE INSURANCE GRP;0.057391%
QUILTER;0.057382%
AXIS CAPITAL HOLDINGS;0.057351%
BOYD GROUP SERVICES;0.057347%
MSC INDUSTRIAL DIRECT A;0.057287%
RAYONIER;0.057163%
IMI;0.057103%
VERINT SYSTEMS;0.057048%
NOKIAN RENKAAT;0.057022%
PNM RESOURCES;0.057021%
ELEMENT FLEET MANAGEMENT;0.056992%
HELVETIA HOLDING;0.056925%
CHARTER HALL GROUP;0.056844%
BLACKSTONE MORTGAGE A;0.056810%
XEROX CORP;0.056731%
HEXCEL CORP;0.056546%
ALLETE;0.056455%
COMMUNITY BANK SYSTEM;0.056377%
FOOT LOCKER;0.056323%
VALLEY NATIONAL BANCORP;0.056321%
NORTHWESTERN CORP;0.056289%
GAMES WORKSHOP GROUP;0.055753%
NVENT ELECTRIC PLC;0.055722%
BROOKS AUTOMATION;0.055476%
WR GRACE & CO;0.055438%
TREEHOUSE FOODS;0.055379%
MAPLETREE INDL TRUST;0.055351%
SPROUTS FARMERS MARKET;0.055248%
CHOICE HOTELS INTL;0.055189%
AMERICAN STATES WATER CO;0.055184%
ALTIUM;0.055046%
MGIC INVESTMENT;0.054930%
IBIDEN CO;0.054901%
BEAZLEY;0.054765%
LANCASTER COLONY CORP;0.054750%
CEMBRA MONEY BANK;0.054709%
ADAPTIVE BIOTECHNOLOGIES;0.054623%
JB HI-FI;0.054586%
