UNUM GROUP;0.073404%
WEIR GROUP;0.073141%
SKYLARK HOLDINGS CO;0.072733%
AMICUS THERAPEUTICS;0.072630%
ALAMOS GOLD;0.072613%
POWER INTEGRATIONS;0.072589%
HISCOX;0.072585%
BRIGHTHOUSE FINANCIAL;0.072505%
CAPCOM CO;0.072315%
ARROWHEAD PHARMA;0.072312%
AGIOS PHARMACEUTICALS;0.072217%
NUVASIVE;0.072095%
ACI WORLDWIDE;0.072059%
UNITE GROUP;0.072032%
TEMPUR SEALY INTL;0.071824%
BALCHEM CORP;0.071441%
HALOZYME THERAPEUTICS;0.071406%
PROTO LABS;0.071377%
KINSALE CAPITAL GROUP;0.071326%
AZBIL CORP;0.071143%
RLI CORP;0.071124%
BAKKAFROST;0.071012%
ANSELL;0.070997%
COMSYS HOLDINGS;0.070962%
NICHIREI CORP;0.070793%
PINNACLE FINL PARTNERS;0.070690%
SPIRIT REALTY (NEW);0.070637%
IOVANCE BIOTHERAPEUTICS;0.070635%
FABEGE;0.070127%
NEW RESIDENTIAL INV;0.070060%
SELECTIVE INSURANCE GRP;0.069938%
QUILTER;0.069926%
AXIS CAPITAL HOLDINGS;0.069888%
RAYONIER;0.069660%
IMI;0.069586%
VERINT SYSTEMS;0.069520%
NOKIAN RENKAAT;0.069487%
ELEMENT FLEET MANAGEMENT;0.069451%
HELVETIA HOLDING;0.069370%
CHARTER HALL GROUP;0.069270%
BLACKSTONE MORTGAGE A;0.069229%
XEROX CORP;0.069133%
HEXCEL CORP;0.068908%
COMMUNITY BANK SYSTEM;0.068701%
FOOT LOCKER;0.068636%
VALLEY NATIONAL BANCORP;0.068634%
GAMES WORKSHOP GROUP;0.067941%
BROOKS AUTOMATION;0.067603%
WR GRACE & CO;0.067557%
TREEHOUSE FOODS;0.067485%
MAPLETREE INDL TRUST;0.067451%
SPROUTS FARMERS MARKET;0.067326%
CHOICE HOTELS INTL;0.067254%
AMERICAN STATES WATER CO;0.067247%
ALTIUM;0.067080%
MGIC INVESTMENT;0.066939%
IBIDEN CO;0.066903%
BEAZLEY;0.066737%
LANCASTER COLONY CORP;0.066719%
CEMBRA MONEY BANK;0.066669%
JB HI-FI;0.066519%
FIRST HORIZON NATIONAL;0.066445%
TRITAX BIG BOX REIT;0.066436%
