Naam	Weging
BANKIA	0,02%
PANDOX B	0,02%
ALLEGHENY TECHNOLOGIES	0,02%
MESOBLAST	0,02%
METHANEX CORP	0,02%
MADRIGAL PHARMACEUTICALS	0,02%
PATRIZIA	0,02%
AMKOR TECHNOLOGY	0,02%
CARPENTER TECHNOLOGY	0,02%
BROADMARK REALTY CAPITAL	0,02%
VICOR CORP	0,02%
MERCURY GENERAL CORP	0,02%
PBF ENERGY A	0,02%
USANA HEALTH SCIENCES	0,02%
OBIC BUSINESS CONSULTANT	0,02%
HOKURIKU ELECTRIC POWER	0,02%
IMERYS	0,02%
DRAX GROUP	0,02%
VIRGIN GALACTIC HLDGS	0,02%
COVANTA HOLDING CORP	0,02%
SIXT STAMM	0,02%
SHOCKWAVE MEDICAL	0,02%
ALD	0,02%
KARUNA THERAPEUTICS	0,02%
FREEE K K	0,02%
ZEALAND PHARMA	0,02%
UNIVERSAL CORP	0,02%
HUSKY ENERGY	0,02%
INDRA SISTEMAS A	0,02%
BILL,COM HOLDINGS	0,02%
WHITEHAVEN COAL	0,02%
ACEA	0,02%
SILK ROAD MEDICAL	0,02%
HITACHI CAPITAL CORP	0,02%
PARSONS CORP	0,02%
HEALTH & HAPPINESS (HK)	0,02%
TECHNOGYM	0,02%
LAUREATE EDUCATION A	0,02%
STEELCASE A	0,02%
SEMBCORP INDUSTRIES	0,02%
GRUPO CATALANA OCCIDENTE	0,02%
MAXAR TECHNOLOGIES(US)	0,02%
NELNET A	0,02%
WACKER CHEMIE	0,02%
SCANDINAVIAN TOB GROUP	0,02%
CHAMPION REIT	0,02%
ESSENTRA	0,02%
ALMIRALL	0,02%
SCHWEITZER-MAUDUIT INTL	0,02%
KAMAN CORP	0,02%
DAIO PAPER CORP	0,02%
SHANGRI-LA ASIA	0,02%
CAIRN ENERGY	0,02%
JUNGHEINRICH VORZUG	0,02%
PRO MEDICUS	0,02%
KRONES	0,02%
RED ROCK RESORTS A	0,02%
TOYOTA BOSHOKU CORP	0,02%
NS SOLUTIONS CORP	0,02%
GENESIS ENERGY	0,02%
AIR FRANCE-KLM	0,02%
ALBIOMA	0,02%
SCIENTIFIC GAMES CORP	0,02%
MATADOR RESOURCES	0,02%
SIXT VORZUG	0,02%
CACTUS A	0,02%
GENWORTH MI CANADA	0,02%
ASCENDAS INDIA TRUST	0,02%
FRONTLINE	0,02%
SCHOLASTIC CORP	0,02%
JAPAN STEEL WORKS	0,02%
SOFTWAREONE HOLDING	0,02%
