Fund Holdings as of,"07/jun/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AXP","AMERICAN EXPRESS","Financiële waarden","Aandelen","92.366.546,88","0,20","92.366.546,88","547.552,00","168,69","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SAP","SAP","IT","Aandelen","90.851.162,68","0,20","90.851.162,68","898.317,00","101,13","Duitsland","Xetra","EUR"
"GS","GOLDMAN SACHS GROUP INC","Financiële waarden","Aandelen","90.672.893,22","0,20","90.672.893,22","282.022,00","321,51","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DGE","DIAGEO PLC","Basis-consumentengoederen","Aandelen","89.866.211,81","0,20","89.866.211,81","1.953.967,00","45,99","Verenigd Koninkrijk","London Stock Exchange","GBP"
"GSK","GSK","Gezondheidszorg","Aandelen","89.665.007,78","0,20","89.665.007,78","4.144.414,00","21,64","Verenigd Koninkrijk","London Stock Exchange","GBP"
"DE","DEERE","Industrie","Aandelen","88.805.772,00","0,20","88.805.772,00","241.425,00","367,84","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aandelen","86.308.327,20","0,19","86.308.327,20","746.160,00","115,67","Verenigde Staten","NASDAQ","USD"
"C","CITIGROUP INC","Financiële waarden","Aandelen","86.012.619,40","0,19","86.012.619,40","1.650.914,00","52,10","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financiële waarden","Aandelen","84.894.842,37","0,19","84.894.842,37","124.917,00","679,61","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SIE","SIEMENS N AG","Industrie","Aandelen","83.495.138,51","0,18","83.495.138,51","623.942,00","133,82","Duitsland","Xetra","EUR"
"NOW","SERVICENOW INC","IT","Aandelen","82.728.379,08","0,18","82.728.379,08","163.356,00","506,43","Verenigde Staten","New York Stock Exchange Inc.","USD"
