Fund Holdings as of,"07/jun/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"LKQ","LKQ CORP","Luxe-consumentengoederen","Aandelen","11.878.634,88","0,03","11.878.634,88","224.464,00","52,92","Verenigde Staten","NASDAQ","USD"
"PEAK","HEALTHPEAK PROPERTIES INC","Vastgoed","Aandelen","11.863.716,25","0,03","11.863.716,25","412.651,00","28,75","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ALLY","ALLY FINANCIAL INC","Financiële waarden","Aandelen","11.858.978,56","0,03","11.858.978,56","276.562,00","42,88","Verenigde Staten","New York Stock Exchange Inc.","USD"
"UDR","UDR REIT INC","Vastgoed","Aandelen","11.857.589,16","0,03","11.857.589,16","250.636,00","47,31","Verenigde Staten","New York Stock Exchange Inc.","USD"
"QBE","QBE INSURANCE GROUP LTD","Financiële waarden","Aandelen","11.847.578,15","0,03","11.847.578,15","1.350.754,00","8,77","Australië","Asx - All Markets","AUD"
"SWED A","SWEDBANK","Financiële waarden","Aandelen","11.827.022,99","0,03","11.827.022,99","765.431,00","15,45","Zweden","Nasdaq Omx Nordic","SEK"
"LUMI","BANK LEUMI LE ISRAEL","Financiële waarden","Aandelen","11.818.037,12","0,03","11.818.037,12","1.186.898,00","9,96","Israël","Tel Aviv Stock Exchange","ILS"
"MGM","MGM RESORTS INTERNATIONAL","Luxe-consumentengoederen","Aandelen","11.816.076,09","0,03","11.816.076,09","332.941,00","35,49","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NTAP","NETAPP INC","IT","Aandelen","11.787.469,92","0,03","11.787.469,92","164.952,00","71,46","Verenigde Staten","NASDAQ","USD"
"6723","RENESAS ELECTRONICS CORP","IT","Aandelen","11.772.880,92","0,03","11.772.880,92","1.058.800,00","11,12","Japan","Tokyo Stock Exchange","JPY"
"EQT","EQT CORP","Energie","Aandelen","11.767.543,98","0,03","11.767.543,98","236.391,00","49,78","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NZYM B","NOVOZYMES B","Materialen","Aandelen","11.718.793,09","0,03","11.718.793,09","185.019,00","63,34","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"LYV","LIVE NATION ENTERTAINMENT INC","Communicatie","Aandelen","11.701.680,83","0,03","11.701.680,83","121.753,00","96,11","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TECH","BIO TECHNE CORP","Gezondheidszorg","Aandelen","11.690.406,00","0,03","11.690.406,00","31.941,00","366,00","Verenigde Staten","NASDAQ","USD"
"RPRX","ROYALTY PHARMA PLC CLASS A","Gezondheidszorg","Aandelen","11.684.634,88","0,03","11.684.634,88","282.784,00","41,32","Verenigde Staten","NASDAQ","USD"
"LVS","LAS VEGAS SANDS CORP","Luxe-consumentengoederen","Aandelen","11.668.111,16","0,03","11.668.111,16","325.652,00","35,83","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SCMN","SWISSCOM AG","Communicatie","Aandelen","11.624.895,88","0,03","11.624.895,88","20.115,00","577,92","Zwitserland","SIX Swiss Exchange","CHF"
"5020","ENEOS HOLDINGS INC","Energie","Aandelen","11.566.529,78","0,03","11.566.529,78","2.692.928,00","4,30","Japan","Tokyo Stock Exchange","JPY"
"BNR","BRENNTAG","Industrie","Aandelen","11.546.605,78","0,03","11.546.605,78","148.809,00","77,59","Duitsland","Xetra","EUR"
"ATCO B","ATLAS COPCO CLASS B","Industrie","Aandelen","11.521.174,75","0,03","11.521.174,75","1.147.338,00","10,04","Zweden","Nasdaq Omx Nordic","SEK"
"SBNY","SIGNATURE BANK","Financiële waarden","Aandelen","11.505.201,92","0,03","11.505.201,92","50.926,00","225,92","Verenigde Staten","NASDAQ","USD"
"WPP","WPP PLC","Communicatie","Aandelen","11.469.915,37","0,03","11.469.915,37","993.082,00","11,55","Verenigd Koninkrijk","London Stock Exchange","GBP"
"AAP","ADVANCE AUTO PARTS INC","Luxe-consumentengoederen","Aandelen","11.439.839,52","0,03","11.439.839,52","61.228,00","186,84","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","IT","Aandelen","11.423.045,15","0,03","11.423.045,15","1.251.155,00","9,13","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HAS","HASBRO INC","Luxe-consumentengoederen","Aandelen","11.418.876,84","0,03","11.418.876,84","128.562,00","88,82","Verenigde Staten","NASDAQ","USD"
"SJM","JM SMUCKER","Basis-consumentengoederen","Aandelen","11.401.473,45","0,03","11.401.473,45","87.495,00","130,31","Verenigde Staten","New York Stock Exchange Inc.","USD"
"4578","OTSUKA HOLDINGS LTD","Gezondheidszorg","Aandelen","11.381.236,04","0,03","11.381.236,04","346.286,00","32,87","Japan","Tokyo Stock Exchange","JPY"
"2503","KIRIN HOLDINGS LTD","Basis-consumentengoederen","Aandelen","11.346.046,42","0,03","11.346.046,42","728.760,00","15,57","Japan","Tokyo Stock Exchange","JPY"
"BG","BUNGE LTD","Basis-consumentengoederen","Aandelen","11.344.737,65","0,03","11.344.737,65","100.565,00","112,81","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NET","CLOUDFLARE INC CLASS A","IT","Aandelen","11.263.379,27","0,02","11.263.379,27","205.799,00","54,73","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DTG","DAIMLER TRUCK HOLDING E AG","Industrie","Aandelen","11.256.359,96","0,02","11.256.359,96","352.660,00","31,92","Duitsland","Xetra","EUR"
"CTXS","CITRIX SYSTEMS INC","IT","Aandelen","11.253.261,18","0,02","11.253.261,18","113.934,00","98,77","Verenigde Staten","NASDAQ","USD"
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","Basis-consumentengoederen","Aandelen","11.217.472,95","0,02","11.217.472,95","208.155,00","53,89","Nederland","NASDAQ","USD"
"9735","SECOM LTD","Industrie","Aandelen","11.211.114,62","0,02","11.211.114,62","173.443,00","64,64","Japan","Tokyo Stock Exchange","JPY"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Gezondheidszorg","Aandelen","11.153.196,80","0,02","11.153.196,80","142.624,00","78,20","Verenigde Staten","NASDAQ","USD"
"8113","UNICHARM CORP","Basis-consumentengoederen","Aandelen","11.137.056,05","0,02","11.137.056,05","351.700,00","31,67","Japan","Tokyo Stock Exchange","JPY"
"IMO","IMPERIAL OIL LTD","Energie","Aandelen","11.132.599,41","0,02","11.132.599,41","194.708,00","57,18","Canada","Toronto Stock Exchange","CAD"
"6701","NEC CORP","IT","Aandelen","11.077.048,50","0,02","11.077.048,50","274.800,00","40,31","Japan","Tokyo Stock Exchange","JPY"
"PTC","PTC INC","IT","Aandelen","11.044.082,64","0,02","11.044.082,64","93.721,00","117,84","Verenigde Staten","NASDAQ","USD"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financiële waarden","Aandelen","11.000.476,52","0,02","11.000.476,52","28.828,00","381,59","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RCL","ROYAL CARIBBEAN GROUP LTD","Luxe-consumentengoederen","Aandelen","10.963.926,94","0,02","10.963.926,94","193.231,00","56,74","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FRE","FRESENIUS SE AND CO KGAA","Gezondheidszorg","Aandelen","10.942.862,86","0,02","10.942.862,86","326.364,00","33,53","Duitsland","Xetra","EUR"
"III","3I GROUP PLC","Financiële waarden","Aandelen","10.924.961,23","0,02","10.924.961,23","715.268,00","15,27","Verenigd Koninkrijk","London Stock Exchange","GBP"
"FOXA","FOX CORP CLASS A","Communicatie","Aandelen","10.853.016,60","0,02","10.853.016,60","313.671,00","34,60","Verenigde Staten","NASDAQ","USD"
"SN.","SMITH AND NEPHEW PLC","Gezondheidszorg","Aandelen","10.832.236,21","0,02","10.832.236,21","685.755,00","15,80","Verenigd Koninkrijk","London Stock Exchange","GBP"
"NCM","NEWCREST MINING LTD","Materialen","Aandelen","10.818.329,87","0,02","10.818.329,87","624.413,00","17,33","Australië","Asx - All Markets","AUD"
"BNZL","BUNZL","Industrie","Aandelen","10.783.388,86","0,02","10.783.388,86","310.988,00","34,67","Verenigd Koninkrijk","London Stock Exchange","GBP"
"HSIC","HENRY SCHEIN INC","Gezondheidszorg","Aandelen","10.781.258,22","0,02","10.781.258,22","126.333,00","85,34","Verenigde Staten","NASDAQ","USD"
"NRG","NRG ENERGY INC","Nutsbedrijven","Aandelen","10.743.745,14","0,02","10.743.745,14","232.851,00","46,14","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FME","FRESENIUS MEDICAL CARE AG","Gezondheidszorg","Aandelen","10.731.875,01","0,02","10.731.875,01","185.093,00","57,98","Duitsland","Xetra","EUR"
"QIA","QIAGEN NV","Gezondheidszorg","Aandelen","10.706.097,50","0,02","10.706.097,50","231.548,00","46,24","Duitsland","Xetra","EUR"
"HEN3","HENKEL & KGAA PREF AG","Basis-consumentengoederen","Aandelen","10.706.340,85","0,02","10.706.340,85","160.681,00","66,63","Duitsland","Xetra","EUR"
"2413","M3 INC","Gezondheidszorg","Aandelen","10.691.519,15","0,02","10.691.519,15","374.500,00","28,55","Japan","Tokyo Stock Exchange","JPY"
"FWONK","LIBERTY MEDIA FORMULA ONE CORP SER","Communicatie","Aandelen","10.691.235,51","0,02","10.691.235,51","169.783,00","62,97","Verenigde Staten","NASDAQ","USD"
"INCY","INCYTE CORP","Gezondheidszorg","Aandelen","10.670.180,40","0,02","10.670.180,40","142.440,00","74,91","Verenigde Staten","NASDAQ","USD"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Vastgoed","Aandelen","10.661.894,60","0,02","10.661.894,60","142.940,00","74,59","Verenigde Staten","New York Stock Exchange Inc.","USD"
"EQH","EQUITABLE HOLDINGS INC","Financiële waarden","Aandelen","10.656.520,32","0,02","10.656.520,32","358.082,00","29,76","Verenigde Staten","New York Stock Exchange Inc.","USD"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrie","Aandelen","10.654.133,99","0,02","10.654.133,99","41.743,00","255,23","Zwitserland","SIX Swiss Exchange","CHF"
"MOWI","MOWI","Basis-consumentengoederen","Aandelen","10.578.089,68","0,02","10.578.089,68","429.838,00","24,61","Noorwegen","Oslo Bors Asa","NOK"
"BAH","BOOZ ALLEN HAMILTON HOLDING CORP C","Industrie","Aandelen","10.567.963,38","0,02","10.567.963,38","119.022,00","88,79","Verenigde Staten","New York Stock Exchange Inc.","USD"
"5713","SUMITOMO METAL MINING LTD","Materialen","Aandelen","10.557.474,03","0,02","10.557.474,03","252.182,00","41,86","Japan","Tokyo Stock Exchange","JPY"
"BIO","BIO RAD LABORATORIES INC CLASS A","Gezondheidszorg","Aandelen","10.521.544,27","0,02","10.521.544,27","19.471,00","540,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"WTRG","ESSENTIAL UTILITIES INC","Nutsbedrijven","Aandelen","10.514.925,50","0,02","10.514.925,50","220.670,00","47,65","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CCO","CAMECO CORP","Energie","Aandelen","10.471.165,31","0,02","10.471.165,31","388.191,00","26,97","Canada","Toronto Stock Exchange","CAD"
"ARX","ARC RESOURCES LTD","Energie","Aandelen","10.453.606,98","0,02","10.453.606,98","599.006,00","17,45","Canada","Toronto Stock Exchange","CAD"
"QRVO","QORVO INC","IT","Aandelen","10.446.613,32","0,02","10.446.613,32","93.658,00","111,54","Verenigde Staten","NASDAQ","USD"
"DELL","DELL TECHNOLOGIES INC CLASS C","IT","Aandelen","10.445.955,30","0,02","10.445.955,30","204.222,00","51,15","Verenigde Staten","New York Stock Exchange Inc.","USD"
"EDEN","EDENRED","IT","Aandelen","10.439.622,66","0,02","10.439.622,66","216.896,00","48,13","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"8309","SUMITOMO MITSUI TRUST HOLDINGS INC","Financiële waarden","Aandelen","10.410.328,98","0,02","10.410.328,98","340.773,00","30,55","Japan","Tokyo Stock Exchange","JPY"
"OKTA","OKTA INC CLASS A","IT","Aandelen","10.400.488,24","0,02","10.400.488,24","104.276,00","99,74","Verenigde Staten","NASDAQ","USD"
"8604","NOMURA HOLDINGS INC","Financiële waarden","Aandelen","10.391.425,13","0,02","10.391.425,13","2.715.731,00","3,83","Japan","Tokyo Stock Exchange","JPY"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Gezondheidszorg","Aandelen","10.339.311,04","0,02","10.339.311,04","41.824,00","247,21","Verenigde Staten","New York Stock Exchange Inc.","USD"
"KPN","KONINKLIJKE KPN NV","Communicatie","Aandelen","10.313.272,15","0,02","10.313.272,15","2.835.920,00","3,64","Nederland","Euronext Amsterdam","EUR"
"ERF","EUROFINS SCIENTIFIC","Gezondheidszorg","Aandelen","10.292.946,30","0,02","10.292.946,30","112.373,00","91,60","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"MAERSK A","A P MOLLER MAERSK","Industrie","Aandelen","10.269.719,65","0,02","10.269.719,65","3.411,00","3.010,77","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"1925","DAIWA HOUSE INDUSTRY LTD","Vastgoed","Aandelen","10.266.804,33","0,02","10.266.804,33","434.952,00","23,60","Japan","Tokyo Stock Exchange","JPY"
"SNA","SNAP ON INC","Industrie","Aandelen","10.254.170,52","0,02","10.254.170,52","45.639,00","224,68","Verenigde Staten","New York Stock Exchange Inc.","USD"
"7269","SUZUKI MOTOR CORP","Luxe-consumentengoederen","Aandelen","10.236.741,91","0,02","10.236.741,91","341.504,00","29,98","Japan","Tokyo Stock Exchange","JPY"
"HM B","HENNES & MAURITZ","Luxe-consumentengoederen","Aandelen","10.233.093,77","0,02","10.233.093,77","727.279,00","14,07","Zweden","Nasdaq Omx Nordic","SEK"
"NDSN","NORDSON CORP","Industrie","Aandelen","10.207.209,96","0,02","10.207.209,96","45.966,00","222,06","Verenigde Staten","NASDAQ","USD"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Communicatie","Aandelen","10.191.443,32","0,02","10.191.443,32","322.412,00","31,61","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SCG","SCENTRE GROUP","Vastgoed","Aandelen","10.174.349,33","0,02","10.174.349,33","5.181.562,00","1,96","Australië","Asx - All Markets","AUD"
"CBOE","CBOE GLOBAL MARKETS INC","Financiële waarden","Aandelen","10.169.416,32","0,02","10.169.416,32","89.488,00","113,64","Verenigde Staten","Cboe BZX formerly known as BATS","USD"
"VST","VISTRA CORP","Nutsbedrijven","Aandelen","10.159.964,43","0,02","10.159.964,43","370.937,00","27,39","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HRL","HORMEL FOODS CORP","Basis-consumentengoederen","Aandelen","10.154.408,94","0,02","10.154.408,94","222.538,00","45,63","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FICO","FAIR ISAAC CORP","IT","Aandelen","10.135.667,00","0,02","10.135.667,00","24.025,00","421,88","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SY1","SYMRISE AG","Materialen","Aandelen","10.127.865,00","0,02","10.127.865,00","91.361,00","110,86","Duitsland","Xetra","EUR"
"TFX","TELEFLEX INC","Gezondheidszorg","Aandelen","10.073.860,98","0,02","10.073.860,98","35.306,00","285,33","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6762","TDK CORP","IT","Aandelen","10.075.138,71","0,02","10.075.138,71","280.400,00","35,93","Japan","Tokyo Stock Exchange","JPY"
"PUB","PUBLICIS GROUPE SA","Communicatie","Aandelen","10.051.391,81","0,02","10.051.391,81","184.098,00","54,60","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"3","HONG KONG AND CHINA GAS LTD","Nutsbedrijven","Aandelen","10.045.401,96","0,02","10.045.401,96","8.786.815,00","1,14","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"INF","INFORMA PLC","Communicatie","Aandelen","10.029.091,69","0,02","10.029.091,69","1.446.697,00","6,93","Verenigd Koninkrijk","London Stock Exchange","GBP"
"RHC","RAMSAY HEALTH CARE LTD","Gezondheidszorg","Aandelen","10.014.066,90","0,02","10.014.066,90","183.078,00","54,70","Australië","Asx - All Markets","AUD"
"NIBE B","NIBE INDUSTRIER CLASS B","Industrie","Aandelen","9.991.819,78","0,02","9.991.819,78","1.118.335,00","8,93","Zweden","Nasdaq Omx Nordic","SEK"
"9101","NIPPON YUSEN","Industrie","Aandelen","9.964.899,04","0,02","9.964.899,04","122.800,00","81,15","Japan","Tokyo Stock Exchange","JPY"
"RO","ROCHE HOLDING AG","Gezondheidszorg","Aandelen","9.941.823,64","0,02","9.941.823,64","26.444,00","375,96","Zwitserland","SIX Swiss Exchange","CHF"
"KRX","KINGSPAN GROUP PLC","Industrie","Aandelen","9.941.646,13","0,02","9.941.646,13","123.622,00","80,42","Ierland","Irish Stock Exchange - All Market","EUR"
"BURL","BURLINGTON STORES INC","Luxe-consumentengoederen","Aandelen","9.918.729,30","0,02","9.918.729,30","56.235,00","176,38","Verenigde Staten","New York Stock Exchange Inc.","USD"
"Y","ALLEGHANY CORP","Financiële waarden","Aandelen","9.914.367,00","0,02","9.914.367,00","11.860,00","835,95","Verenigde Staten","New York Stock Exchange Inc.","USD"
"8015","TOYOTA TSUSHO CORP","Industrie","Aandelen","9.891.677,68","0,02","9.891.677,68","260.000,00","38,04","Japan","Tokyo Stock Exchange","JPY"
"FNF","FIDELITY NATIONAL FINANCIAL INC","Financiële waarden","Aandelen","9.892.209,77","0,02","9.892.209,77","232.157,00","42,61","Verenigde Staten","New York Stock Exchange Inc.","USD"
"L","LOEWS CORP","Financiële waarden","Aandelen","9.884.307,30","0,02","9.884.307,30","152.418,00","64,85","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AGN","AEGON NV","Financiële waarden","Aandelen","9.882.161,95","0,02","9.882.161,95","1.866.718,00","5,29","Nederland","Euronext Amsterdam","EUR"
"AMH","AMERICAN HOMES RENT REIT CLASS A","Vastgoed","Aandelen","9.873.918,34","0,02","9.873.918,34","259.226,00","38,09","Verenigde Staten","New York Stock Exchange Inc.","USD"
"EPI A","EPIROC CLASS A","Industrie","Aandelen","9.851.735,76","0,02","9.851.735,76","497.533,00","19,80","Zweden","Nasdaq Omx Nordic","SEK"
"BAER","JULIUS BAER GRUPPE AG","Financiële waarden","Aandelen","9.840.766,31","0,02","9.840.766,31","188.379,00","52,24","Zwitserland","SIX Swiss Exchange","CHF"
"NICE","NICE LTD","IT","Aandelen","9.822.892,91","0,02","9.822.892,91","48.546,00","202,34","Israël","Tel Aviv Stock Exchange","ILS"
"RPM","RPM INTERNATIONAL INC","Materialen","Aandelen","9.818.676,06","0,02","9.818.676,06","110.347,00","88,98","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AIZ","ASSURANT INC","Financiële waarden","Aandelen","9.734.970,06","0,02","9.734.970,06","52.457,00","185,58","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PHM","PULTEGROUP INC","Luxe-consumentengoederen","Aandelen","9.708.288,30","0,02","9.708.288,30","214.311,00","45,30","Verenigde Staten","New York Stock Exchange Inc.","USD"
"WHR","WHIRLPOOL CORP","Luxe-consumentengoederen","Aandelen","9.690.166,60","0,02","9.690.166,60","55.964,00","173,15","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CPT","CAMDEN PROPERTY TRUST REIT","Vastgoed","Aandelen","9.682.152,29","0,02","9.682.152,29","67.883,00","142,63","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NHY","NORSK HYDRO","Materialen","Aandelen","9.674.696,87","0,02","9.674.696,87","1.225.705,00","7,89","Noorwegen","Oslo Bors Asa","NOK"
"STMN","STRAUMANN HOLDING AG","Gezondheidszorg","Aandelen","9.666.331,17","0,02","9.666.331,17","79.025,00","122,32","Zwitserland","SIX Swiss Exchange","CHF"
"6506","YASKAWA ELECTRIC CORP","Industrie","Aandelen","9.658.226,08","0,02","9.658.226,08","273.100,00","35,37","Japan","Tokyo Stock Exchange","JPY"
"VIFNE","VIFOR N . LINIE AG","Gezondheidszorg","Aandelen","9.646.753,41","0,02","9.646.753,41","55.231,00","174,66","Zwitserland","SIX Swiss Exchange","CHF"
"LOGN","LOGITECH INTERNATIONAL SA","IT","Aandelen","9.647.016,26","0,02","9.647.016,26","161.079,00","59,89","Zwitserland","SIX Swiss Exchange","CHF"
"CA","CARREFOUR SA","Basis-consumentengoederen","Aandelen","9.642.930,38","0,02","9.642.930,38","470.486,00","20,50","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"SCA B","SVENSKA CELLULOSA B","Materialen","Aandelen","9.630.517,54","0,02","9.630.517,54","515.785,00","18,67","Zweden","Nasdaq Omx Nordic","SEK"
"ZI","ZOOMINFO TECHNOLOGIES INC","Communicatie","Aandelen","9.621.484,32","0,02","9.621.484,32","236.168,00","40,74","Verenigde Staten","NASDAQ","USD"
"SRG","SNAM","Nutsbedrijven","Aandelen","9.603.371,26","0,02","9.603.371,26","1.666.760,00","5,76","Italië","Borsa Italiana","EUR"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Nutsbedrijven","Aandelen","9.552.420,07","0,02","9.552.420,07","1.148.084,00","8,32","Italië","Borsa Italiana","EUR"
"HO","THALES SA","Industrie","Aandelen","9.534.574,05","0,02","9.534.574,05","76.977,00","123,86","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"CARL B","CARLSBERG AS CL B","Basis-consumentengoederen","Aandelen","9.474.035,12","0,02","9.474.035,12","76.528,00","123,80","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"YAR","YARA INTERNATIONAL","Materialen","Aandelen","9.472.175,41","0,02","9.472.175,41","184.543,00","51,33","Noorwegen","Oslo Bors Asa","NOK"
"5201","AGC INC","Industrie","Aandelen","9.379.806,91","0,02","9.379.806,91","240.812,00","38,95","Japan","Tokyo Stock Exchange","JPY"
"WRK","WESTROCK","Materialen","Aandelen","9.360.391,40","0,02","9.360.391,40","188.908,00","49,55","Verenigde Staten","New York Stock Exchange Inc.","USD"
"GDDY","GODADDY INC CLASS A","IT","Aandelen","9.286.366,51","0,02","9.286.366,51","125.339,00","74,09","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BZFUT","CASH COLLATERAL USD BZFUT","Liquide middelen en/of derivaten","Cash Collateral and Margins","9.229.900,00","0,02","9.229.900,00","9.229.900,00","100,00","Verenigde Staten","-","USD"
"3407","ASAHI KASEI CORP","Materialen","Aandelen","9.231.650,65","0,02","9.231.650,65","1.142.956,00","8,08","Japan","Tokyo Stock Exchange","JPY"
"TELIA","TELIA COMPANY","Communicatie","Aandelen","9.228.832,76","0,02","9.228.832,76","2.267.171,00","4,07","Zweden","Nasdaq Omx Nordic","SEK"
"DANSKE","DANSKE BANK","Financiële waarden","Aandelen","9.211.022,68","0,02","9.211.022,68","556.538,00","16,55","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"JNPR","JUNIPER NETWORKS INC","IT","Aandelen","9.200.215,82","0,02","9.200.215,82","297.838,00","30,89","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RBLX","ROBLOX CORP CLASS A","Communicatie","Aandelen","9.147.373,68","0,02","9.147.373,68","290.947,00","31,44","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RE","EVEREST RE GROUP LTD","Financiële waarden","Aandelen","9.126.457,86","0,02","9.126.457,86","31.666,00","288,21","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BXB","BRAMBLES LTD","Industrie","Aandelen","9.115.023,91","0,02","9.115.023,91","1.172.371,00","7,77","Australië","Asx - All Markets","AUD"
"SVT","SEVERN TRENT PLC","Nutsbedrijven","Aandelen","9.114.274,78","0,02","9.114.274,78","250.404,00","36,40","Verenigd Koninkrijk","London Stock Exchange","GBP"
"6920","LASERTEC CORP","IT","Aandelen","9.113.115,68","0,02","9.113.115,68","68.400,00","133,23","Japan","Tokyo Stock Exchange","JPY"
"CCL","CARNIVAL CORP","Luxe-consumentengoederen","Aandelen","9.088.034,02","0,02","9.088.034,02","659.509,00","13,78","Verenigde Staten","New York Stock Exchange Inc.","USD"
"66","MTR CORPORATION CORP LTD","Industrie","Aandelen","9.078.745,63","0,02","9.078.745,63","1.684.000,00","5,39","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"OC","OWENS CORNING","Industrie","Aandelen","9.044.102,32","0,02","9.044.102,32","92.741,00","97,52","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FBHS","FORTUNE BRANDS HOME AND SECURITY I","Industrie","Aandelen","9.032.356,48","0,02","9.032.356,48","127.288,00","70,96","Verenigde Staten","New York Stock Exchange Inc.","USD"
"J36","JARDINE MATHESON HOLDINGS LTD","Industrie","Aandelen","9.030.280,44","0,02","9.030.280,44","157.103,00","57,48","Hong Kong","Singapore Exchange","USD"
"NXT","NEXT PLC","Luxe-consumentengoederen","Aandelen","8.991.962,57","0,02","8.991.962,57","111.185,00","80,87","Verenigd Koninkrijk","London Stock Exchange","GBP"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Vastgoed","Aandelen","8.983.848,80","0,02","8.983.848,80","341.013,00","26,34","Japan","Tokyo Stock Exchange","JPY"
"4523","EISAI LTD","Gezondheidszorg","Aandelen","8.962.456,46","0,02","8.962.456,46","224.740,00","39,88","Japan","Tokyo Stock Exchange","JPY"
"UU.","UNITED UTILITIES GROUP PLC","Nutsbedrijven","Aandelen","8.943.018,87","0,02","8.943.018,87","678.251,00","13,19","Verenigd Koninkrijk","London Stock Exchange","GBP"
"7270","SUBARU CORP","Luxe-consumentengoederen","Aandelen","8.879.675,41","0,02","8.879.675,41","482.500,00","18,40","Japan","Tokyo Stock Exchange","JPY"
"CTC.A","CANADIAN TIRE LTD CLASS A","Luxe-consumentengoederen","Aandelen","8.879.785,39","0,02","8.879.785,39","64.681,00","137,29","Canada","Toronto Stock Exchange","CAD"
"INVE A","INVESTOR CLASS A","Financiële waarden","Aandelen","8.860.401,60","0,02","8.860.401,60","418.516,00","21,17","Zweden","Nasdaq Omx Nordic","SEK"
"TLS","TELSTRA CORPORATION LTD","Communicatie","Aandelen","8.851.427,27","0,02","8.851.427,27","3.193.045,00","2,77","Australië","Asx - All Markets","AUD"
"ATL","ATLANTIA","Industrie","Aandelen","8.829.974,98","0,02","8.829.974,98","364.959,00","24,19","Italië","Borsa Italiana","EUR"
"COIN","COINBASE GLOBAL INC CLASS A","Financiële waarden","Aandelen","8.829.963,54","0,02","8.829.963,54","126.922,00","69,57","Verenigde Staten","NASDAQ","USD"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Luxe-consumentengoederen","Aandelen","8.825.142,45","0,02","8.825.142,45","141.305,00","62,45","Verenigd Koninkrijk","London Stock Exchange","GBP"
"CLF","CLEVELAND CLIFFS INC","Materialen","Aandelen","8.797.038,93","0,02","8.797.038,93","367.923,00","23,91","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ABMD","ABIOMED INC","Gezondheidszorg","Aandelen","8.797.407,54","0,02","8.797.407,54","32.798,00","268,23","Verenigde Staten","NASDAQ","USD"
"WLN","WORLDLINE SA","IT","Aandelen","8.799.340,59","0,02","8.799.340,59","209.253,00","42,05","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"7309","SHIMANO INC","Luxe-consumentengoederen","Aandelen","8.791.172,49","0,02","8.791.172,49","51.795,00","169,73","Japan","Tokyo Stock Exchange","JPY"
"4528","ONO PHARMACEUTICAL LTD","Gezondheidszorg","Aandelen","8.792.406,11","0,02","8.792.406,11","356.200,00","24,68","Japan","Tokyo Stock Exchange","JPY"
"FFIV","F5 INC","IT","Aandelen","8.791.413,66","0,02","8.791.413,66","52.938,00","166,07","Verenigde Staten","NASDAQ","USD"
